score,likes,comment
4,30,퇴장도 최소한 허무하지 않게 보내야지
1,34,고어액션 잘 보는 편인데 중반이후 장르가 바뀌면서 급식상하고 어이없는 스토리에 지루해서 진심 중간에 나오고 싶었음. 잔인함보다는 쓸데없이 피만 낭자함
1,35,그냥 내용 볼것 없는 그냥 잔인한 영화공포물은 아님
5,36,너무 잔인해서 비추합니다..
1,38,너무 잔인해요
10,44,"베에서 벌어지는 일이라 스케일도 크고, 이런 장르의 영화는 진짜 처음보는듯!"
10,46,생존 서바이벌의 새로운 장이 이제야 열렸다! 배우진과 감독님의 행보가 기대돼요!! 즐겁게 잘봤습니다.
10,53,아주 강렬한 인상을 남긴 늑대사냥였음배우연기는 말할것도 없음 보면서 긴장했는지 손에 땀이 다남!
6,21,
6,21,잔인하면서도 재밌게 만들수도 있었을텐데..
1,23,"진짜 몇년만에 극장에서 중간에 나왔다. 아까운 내 돈, 시간..."
7,24,그 분이 안나오셨음 더 재밌었을까?
4,28,"5점만점에 잔인함 5점, 액션 4.5점, 스토리빌드업 2점, 스토리텔링 2점추천하냐고 물으시면, 호불호 심하게 갈릴꺼 같네요후속편 예상하게 만들만한 엔딩이지만 기대는 전혀 안됩니다.차라리 초반 스토리라인을 쭉 이어가는게 훨씬 낫겠네요"
4,30,
2,31,돈보다도 시간이 아까움
10,41,진짜 1초도 눈을 뗄 수 없음! 몰입해서 영화를 본다는 게 어떤건지 이 영화 보면서 제대로 느낌! 진짜 bbb
2,20,7광구 + 무수단 + 써치(드라마) = 늑대사냥1. 방통위 심사가 어떤 방식으로 통과 되었는가?2. 정소민의 목적은 과연 무엇일까?3. 서인국은 과연 짝 궁댕이 였을까?4. 알파가 원펀맨일까? 아니면 성동일이 원펀맨인가?
5,20,뭘 보고 온 건지 모르겠음
5,20,극장보다 넷플에 더 잘 어울리는 영화
4,23,고어하고 고어하고 고어할뿐 그외에는 별거 없다 노잼
10,25,매니아층 공략 제대로 취향타는 피칠갑! 살상능력 최강~ 기 제대로 빨린다.한정된 공간에서 벌어진 이 어마무시한 사태는 어떻게 흘러갈지 후속편이 기대된다!
8,28,
2,38,
4,17,장르가 갑자기 바뀌어버려서 뭔가 싶었네요
2,19,스토리도 정의도 기승전결도 없고그전 잔인한 사람죽이기가 주 줄거리이다.강력 비추입니다
1,22,등장하는 캐릭터를 싹다 주겨버리는 매우 놀라운 영화
